date,weather_code,temperature_2m_max,wind_speed_10m_max,wind_direction_10m_dominant
2023-07-19 00:00:00+00:00,51.0,27.640999,10.028439,315.70724
2023-07-20 00:00:00+00:00,3.0,29.541,7.386582,55.71294
2023-07-21 00:00:00+00:00,55.0,28.640999,15.463244,237.2032
2023-07-22 00:00:00+00:00,2.0,28.541,13.202726,317.74643
2023-07-23 00:00:00+00:00,2.0,29.191,11.384199,269.81808
2023-07-24 00:00:00+00:00,53.0,29.091,18.532133,196.92245
2023-07-25 00:00:00+00:00,63.0,26.890999,10.464797,214.47925
2023-07-26 00:00:00+00:00,51.0,30.791,13.527572,252.15186
2023-07-27 00:00:00+00:00,63.0,32.791,21.817902,209.85533
2023-07-28 00:00:00+00:00,3.0,33.190998,13.363711,262.2871
2023-07-29 00:00:00+00:00,61.0,31.890999,25.071096,254.08551
2023-07-30 00:00:00+00:00,3.0,26.691,18.043148,319.574
2023-07-31 00:00:00+00:00,1.0,27.991,11.966954,311.78937
2023-08-01 00:00:00+00:00,3.0,26.941,14.277983,336.83978
2023-08-02 00:00:00+00:00,3.0,27.640999,10.182337,335.54163
2023-08-03 00:00:00+00:00,53.0,28.591,18.25026,190.12808
2023-08-04 00:00:00+00:00,51.0,27.640999,14.529915,210.43042
2023-08-05 00:00:00+00:00,51.0,29.390999,8.647496,17.488115
2023-08-06 00:00:00+00:00,3.0,31.191,8.209263,21.13989
2023-08-07 00:00:00+00:00,65.0,30.091,20.188908,175.44753
2023-08-08 00:00:00+00:00,61.0,24.991,25.699057,260.66794
2023-08-09 00:00:00+00:00,3.0,28.140999,18.844202,284.97913
2023-08-10 00:00:00+00:00,61.0,23.390999,9.885262,234.98338
2023-08-11 00:00:00+00:00,51.0,27.941,16.700275,276.5667
2023-08-12 00:00:00+00:00,65.0,29.541,15.782622,212.47107
2023-08-13 00:00:00+00:00,53.0,29.191,18.25026,272.95447
2023-08-14 00:00:00+00:00,3.0,29.041,8.161764,257.7023
2023-08-15 00:00:00+00:00,63.0,28.941,13.237039,57.72443
2023-08-16 00:00:00+00:00,53.0,27.441,11.165805,327.06128
2023-08-17 00:00:00+00:00,53.0,28.890999,14.113653,154.00876
2023-08-18 00:00:00+00:00,63.0,25.041,22.61419,262.67075
2023-08-19 00:00:00+00:00,3.0,25.291,16.923828,281.0616
2023-08-20 00:00:00+00:00,3.0,28.091,12.181624,261.63788
2023-08-21 00:00:00+00:00,3.0,30.841,13.746156,289.6539
2023-08-22 00:00:00+00:00,3.0,26.191,15.546833,6.3129845
2023-08-23 00:00:00+00:00,3.0,24.941,9.007196,13.16824
2023-08-24 00:00:00+00:00,53.0,22.691,16.199999,151.63557
2023-08-25 00:00:00+00:00,51.0,29.541,12.10157,194.48071
2023-08-26 00:00:00+00:00,51.0,29.091,11.183201,340.25992
2023-08-27 00:00:00+00:00,1.0,27.791,9.6932955,349.87534
2023-08-28 00:00:00+00:00,51.0,26.140999,15.546833,98.619156
2023-08-29 00:00:00+00:00,3.0,27.091,10.24578,102.59039
2023-08-30 00:00:00+00:00,53.0,27.741,19.66536,272.22504
2023-08-31 00:00:00+00:00,3.0,25.091,17.114204,0.5463107
2023-09-01 00:00:00+00:00,0.0,24.791,11.901798,31.4295
2023-09-02 00:00:00+00:00,3.0,27.541,12.904882,237.8264
2023-09-03 00:00:00+00:00,3.0,31.791,14.512064,272.29468
2023-09-04 00:00:00+00:00,51.0,34.440998,14.689588,296.69193
2023-09-05 00:00:00+00:00,3.0,34.641,14.24163,337.80963
2023-09-06 00:00:00+00:00,3.0,33.841,12.229406,314.28836
2023-09-07 00:00:00+00:00,3.0,32.190998,14.372974,249.05727
2023-09-08 00:00:00+00:00,63.0,29.991,9.826088,167.00539
2023-09-09 00:00:00+00:00,61.0,28.991,16.575644,97.63649
2023-09-10 00:00:00+00:00,61.0,23.991,8.654986,130.98036
2023-09-11 00:00:00+00:00,51.0,27.390999,9.346143,11.604714
2023-09-12 00:00:00+00:00,3.0,27.140999,7.928177,281.58057
2023-09-13 00:00:00+00:00,63.0,25.841,10.464797,296.5649
2023-09-14 00:00:00+00:00,1.0,23.541,13.53236,331.02167
2023-09-15 00:00:00+00:00,0.0,23.841,15.175612,2.9318497
2023-09-16 00:00:00+00:00,0.0,24.091,15.856354,306.74673
2023-09-17 00:00:00+00:00,63.0,21.640999,11.183201,356.4051
2023-09-18 00:00:00+00:00,63.0,22.341,15.778516,309.9363
2023-09-19 00:00:00+00:00,1.0,22.140999,19.161337,288.4556
2023-09-20 00:00:00+00:00,3.0,22.741,12.959999,291.16132
2023-09-21 00:00:00+00:00,3.0,22.291,9.028754,6.7623014
2023-09-22 00:00:00+00:00,3.0,21.741,20.5484,74.08674
2023-09-23 00:00:00+00:00,65.0,16.191,27.841293,52.882153
2023-09-24 00:00:00+00:00,63.0,16.691,25.77962,55.325615
2023-09-25 00:00:00+00:00,63.0,16.441,19.85556,45.10634
2023-09-26 00:00:00+00:00,53.0,15.891,20.991426,55.297775
2023-09-27 00:00:00+00:00,3.0,18.841,13.276144,59.23196
2023-09-28 00:00:00+00:00,3.0,17.191,15.84409,65.46416
2023-09-29 00:00:00+00:00,63.0,20.191,17.287498,47.869286
2023-09-30 00:00:00+00:00,51.0,20.991,14.291592,35.69803
2023-10-01 00:00:00+00:00,1.0,25.991,12.599999,348.35992
2023-10-02 00:00:00+00:00,3.0,25.390999,9.339208,358.27853
2023-10-03 00:00:00+00:00,3.0,26.091,7.24486,284.85867
2023-10-04 00:00:00+00:00,0.0,27.640999,8.534353,248.6293
2023-10-05 00:00:00+00:00,3.0,24.991,12.661564,151.94714
2023-10-06 00:00:00+00:00,51.0,24.291,11.753877,142.31435
2023-10-07 00:00:00+00:00,63.0,20.140999,22.392464,298.50052
2023-10-08 00:00:00+00:00,3.0,15.191,22.7057,265.22852
2023-10-09 00:00:00+00:00,51.0,14.441,21.325253,251.88235
2023-10-10 00:00:00+00:00,51.0,16.890999,18.532133,240.39772
2023-10-11 00:00:00+00:00,3.0,19.041,11.440979,235.61041
2023-10-12 00:00:00+00:00,3.0,19.640999,7.628263,276.74905
2023-10-13 00:00:00+00:00,2.0,17.291,10.296251,328.46725
2023-10-14 00:00:00+00:00,61.0,11.290999,16.323528,37.44642
2023-10-15 00:00:00+00:00,55.0,14.441,24.079666,340.3958
2023-10-16 00:00:00+00:00,51.0,15.990999,18.844202,302.7352
2023-10-17 00:00:00+00:00,51.0,16.291,13.089354,327.98413
2023-10-18 00:00:00+00:00,3.0,16.741,6.193674,273.8336
2023-10-19 00:00:00+00:00,3.0,18.041,14.241629,214.52934
2023-10-20 00:00:00+00:00,61.0,19.491,17.208603,158.45154
2023-10-21 00:00:00+00:00,61.0,16.941,29.795301,292.7454
2023-10-22 00:00:00+00:00,3.0,14.240999,27.776047,286.66608
2023-10-23 00:00:00+00:00,3.0,15.341,16.279802,310.54565
2023-10-24 00:00:00+00:00,3.0,17.991,10.464797,292.80457
2023-10-25 00:00:00+00:00,3.0,20.890999,10.028439,243.79611
2023-10-26 00:00:00+00:00,3.0,24.541,9.693296,251.98012
2023-10-27 00:00:00+00:00,3.0,22.741,11.720751,242.88605
2023-10-28 00:00:00+00:00,3.0,25.041,17.462784,265.70895
2023-10-29 00:00:00+00:00,61.0,17.991,14.494192,58.26877
2023-10-30 00:00:00+00:00,53.0,15.540999,18.278645,357.47763
